Reported Date,Total Number of Dead and Missing,Coordinates
"January 6, 2014",1,"31.650259, -110.366453"
"January 12, 2014",1,"31.59713, -111.73756"
"January 14, 2014",1,"31.94026, -113.01125"
"January 16, 2014",1,"31.506777, -109.315632"
"January 16, 2014",1,"59.1551, 28"
"January 17, 2014",1,"32.45435, -113.18402"
"January 19, 2014",12,"37.2832, 27"
"January 22, 2014",1,"32.478317, -113.182833"
"January 24, 2014",1,"31.81154, -111.01101"
"January 24, 2014",1,"32.174017, -112.174583"
"January 25, 2014",1,"32.40291, -113.02935"
"January 28, 2014",1,"32.159, -112.919"
"January 29, 2014",1,"32.481483, -111.654933"
"January 29, 2014",1,"32.481683, -111.654933"
"January 30, 2014",1,"50.9355, 2"
"January 30, 2014",1,"26.116, -80"
"February 2, 2014",5,"7.0167471, 100.4674982"
"February 6, 2014",15,"35.8793, -5"
"February 11, 2014",1,"31.8054, -111.854867"
"February 16, 2014",1,"31.992833, -111.385833"
"February 16, 2014",1,"32.17305, -112.20211"
"February 17, 2014",2,"34.5645, 16"
"February 17, 2014",1,"32.00768, -112.1726"
"February 18, 2014",1,"32.5543, -117"
"February 20, 2014",8,"18.4505, -68"
"February 20, 2014",1,"31.82214, -111.96383"
"February 21, 2014",1,"32.08795, -112.58407"
"February 25, 2014",1,"32.0885, -112.44956"
"February 26, 2014",1,"25.1841, 89"
"February 26, 2014",17,"20.2802, 39"
"February 27, 2014",7,"33.1597, 15"
"March 4, 2014",1,"31.759, -110.51916"
"March 9, 2014",1,"50.9365, 2"
"March 9, 2014",5,"13.2353642, 101"
"March 9, 2014",2,"9.96833, 99"
"March 11, 2014",1,"31.6904, -106.425"
"March 11, 2014",44,"12.5331, 48"
"March 12, 2014",1,"50.9686, 2"
"March 13, 2014",1,"26.81120278, -97.74819915"
"March 14, 2014",1,"50.950273, 2"
"March 15, 2014",1,"50.9688, 2"
"March 15, 2014",1,"31.789033, -112.114583"
"March 15, 2014",1,"32.1386, -112.326"
"March 17, 2014",1,"34.9797, 13"
"March 18, 2014",9,"39.398814, 26"
"March 22, 2014",251,"1.63236, 31"
"March 23, 2014",1,"31.558, -111.183"
"March 26, 2014",1,"31.94755, -112.06415"
"March 26, 2014",1,"31.85666, -111.62433"
"March 26, 2014",1,"16.2299602, -92"
